variable,draw,gamma,beta0,beta1,sigma_y
direct_conflict_relevance,0,0.6426780712540887,0.5388948412960757,0.9135250347954823,0.8628641383357597
direct_conflict_relevance,1,0.26409090302775207,0.5182491902224632,0.9209846766318188,0.9537062002924852
direct_conflict_relevance,2,0.41634947707396286,0.5180988328766264,0.9227949865430174,0.8959607261595992
direct_conflict_relevance,3,0.28042678718486336,0.5067578880770431,0.9144953340500689,0.9299941462947461
direct_conflict_relevance,4,0.16316905224513878,0.5434498122680684,0.9124185611941699,0.9104362234725071
direct_conflict_relevance,5,0.24856691404141154,0.5335756196119438,0.9270321238759832,0.8947640131826315
direct_conflict_relevance,6,0.504768015548504,0.5169445528150746,0.9219766963804408,1.0038380420863053
direct_conflict_relevance,7,0.40543962269458556,0.514684854666278,0.9121030395833974,0.8369409043953726
direct_conflict_relevance,8,0.23944018513065823,0.5127329928879444,0.9170859785981763,0.822768946779395
direct_conflict_relevance,9,0.6265226337218915,0.5078691313826751,0.9167053030657485,0.9361009050866452
direct_conflict_relevance,10,0.20789239241928714,0.5251954341667782,0.9148715587934133,0.8879370773033688
direct_conflict_relevance,11,0.5702507111972666,0.5224048479910893,0.9204463518810352,0.9154547778621681
direct_conflict_relevance,12,-0.09195251413010284,0.5266559492406185,0.924627230988478,0.9430760636871646
direct_conflict_relevance,13,0.7764582911922222,0.5381923385194054,0.9201612375406759,0.8947143222280878
direct_conflict_relevance,14,0.43838559035034064,0.5179991581483567,0.9241961590341459,0.9144256058528555
direct_conflict_relevance,15,0.4364936196656624,0.5174237791373031,0.9219999976044311,0.9042428599194312
direct_conflict_relevance,16,0.2667091265561609,0.5094235609928884,0.9269797263114237,0.8538894415557784
direct_conflict_relevance,17,0.44395754196406323,0.5025364002270521,0.918680087891362,0.9503194292275572
direct_conflict_relevance,18,0.30130941698874814,0.5054269123028811,0.9191598393709289,0.8944627389099706
direct_conflict_relevance,19,0.17653911261698332,0.5167438938679275,0.9169441097156844,0.9548070475040855
direct_conflict_relevance,20,0.44179656257022515,0.5371718388741205,0.9157763193556887,0.8819445275353534
direct_conflict_relevance,21,0.078731961505548,0.5317755629659913,0.9225809749640763,0.9097595987818012
direct_conflict_relevance,22,0.05574933279086513,0.5151703585678206,0.9234399422724824,0.9055676872467271
direct_conflict_relevance,23,0.21649778634012554,0.5339290510677129,0.9178577680141877,0.8924352751580551
direct_conflict_relevance,24,0.1895664603106141,0.5089104401505143,0.9167120968037311,0.893081695295368
direct_conflict_relevance,25,0.7415624209676681,0.5164009552489746,0.9187507054270965,0.9332139451012331
direct_conflict_relevance,26,0.25090509487837903,0.5145899213728574,0.9166584505119794,0.8803670576151372
direct_conflict_relevance,27,0.594601938904861,0.4986176888530095,0.9233063036837238,0.9241415252714746
direct_conflict_relevance,28,0.12543228227810002,0.5126700450772441,0.9124490201771731,0.9014736828983704
