variable,draw,gamma,beta0,beta1,latent_mean,latent_concentration,sigma_y
direct_conflict_relevance,0,0.4836292802861851,0.21780051490057395,0.9121463701979646,0.7688514195096819,4.225377188374345,0.8951613737304891
direct_conflict_relevance,1,0.4542751490193606,0.24923641025253826,0.9089519613838635,0.7622949721080782,5.35324409997381,0.9004807718781226
direct_conflict_relevance,2,0.3083664248210694,0.17198276628325943,0.9045380617247225,0.7951183271030169,5.449389991191218,0.8997138115730066
direct_conflict_relevance,3,0.6126940826162962,0.3138758778332001,0.9122246322226261,0.7154997272368856,4.4738322471619725,0.9055288342735475
direct_conflict_relevance,4,0.622149289234569,0.29044971494519306,0.9166402646361427,0.7320875578472645,5.054089647390138,0.917294001171181
direct_conflict_relevance,5,0.30588793377600176,0.2809755870417358,0.9137116199859585,0.741969148336758,5.4224379990752745,0.9367289206323545
direct_conflict_relevance,6,0.47708228062611074,0.2946326165069362,0.9091656043891878,0.7554570141347139,4.939942377949186,0.8882954994807166
direct_conflict_relevance,7,1.083853564121963,0.24874691202342689,0.9076811562859131,0.7782531854062593,5.171024041719522,0.9142395484801156
direct_conflict_relevance,8,0.9133498883346305,0.2963775992045221,0.8978252560286958,0.7601666105705468,3.677293340536524,0.8508676060847004
direct_conflict_relevance,9,0.9107221701397471,0.28837872758546745,0.9140748460492176,0.7496137287996204,4.766420292268984,0.9550310396460184
direct_conflict_relevance,10,0.45256826784714643,0.2384387445406474,0.9037410061467482,0.7839016201199782,5.049690359300191,0.8830700102543202
direct_conflict_relevance,11,0.41724975442564216,0.23890752183686545,0.9007162662034609,0.7829527608648067,5.1890782519992875,0.8971330196182131
direct_conflict_relevance,12,0.397737361605862,0.22154349844707721,0.900990221355811,0.7754072808643643,5.429178962995559,0.9327704934685389
direct_conflict_relevance,13,0.7752586937402004,0.17836057056090837,0.9062586202098902,0.7802855292267077,4.684716103322227,0.8879700462327589
direct_conflict_relevance,14,1.0088714911888204,0.23218413510370098,0.9164563431372221,0.7740253264436562,4.9621194381229525,0.9274417921303993
direct_conflict_relevance,15,0.9987522114167368,0.22184266882469916,0.908011549612686,0.7842830200282643,5.60545567400478,0.9271552198665373
direct_conflict_relevance,16,0.18289263380712906,0.21121241849285285,0.903615600277171,0.7855343215771381,5.248183401462233,0.9005666635900489
direct_conflict_relevance,17,1.0001547730979645,0.22933777772964495,0.9137524809456935,0.7578188110230891,5.527623334640162,0.9161224376275717
direct_conflict_relevance,18,0.5442211218019545,0.24365743321403555,0.9268518824041273,0.7551612090031821,6.233395984004292,0.9540269903215447
direct_conflict_relevance,19,0.8379997729925435,0.2705118383006374,0.915500315811162,0.7340445501113441,5.02579805105719,0.9423269864732925
direct_conflict_relevance,20,1.0768629422534988,0.3032487062648279,0.9108021687306771,0.7378006649310814,5.692075037956757,0.9549770033986671
direct_conflict_relevance,21,1.1384575958978747,0.2995684238117575,0.9137994711556477,0.7447968918609177,5.256075920259635,0.9792395506741257
direct_conflict_relevance,22,1.523449413865353,0.20752159132977432,0.917615121744914,0.7710933772296118,6.091036986333005,0.9014341134949346
direct_conflict_relevance,23,1.3532257574837623,0.17861943412920192,0.9005944440770195,0.7942170848322159,5.528048874519771,0.9005356344836083
direct_conflict_relevance,24,0.5619420028501309,0.22446346715662976,0.9257007886027275,0.747296994964489,6.350054094455305,0.9109297209906344
direct_conflict_relevance,25,1.0936521170063005,0.3168188423262739,0.9107811150730525,0.7244973359603352,4.767055015762231,0.8885243898279526
direct_conflict_relevance,26,0.6058608971093887,0.25658076549353215,0.9010099026665407,0.7626034276415462,4.839004639464292,0.9029788940407258
direct_conflict_relevance,27,1.2672727336759582,0.25283639930813384,0.9118255723220668,0.7516785393948644,5.494084577476233,0.8828807918314605
direct_conflict_relevance,28,0.986668160140174,0.2519754230510572,0.9001414939938901,0.7595321982725427,4.715754906075759,0.9497176819636786
direct_conflict_relevance,29,0.8361194447512798,0.2536033739423572,0.9165380890444029,0.76186088783671,5.319295362307404,0.9269917555248044
direct_conflict_relevance,30,0.667739123862624,0.25985666450145195,0.9050048222309034,0.7769128265506168,4.89736183281947,0.9094861151178204
direct_conflict_relevance,31,1.8658470574506825,0.2607894011055601,0.9075866879776213,0.7583172578586992,4.848043511814985,0.9451155235055919
direct_conflict_relevance,32,-0.30926289055306616,0.27826236375661,0.9061905097443661,0.7468782142032623,4.5986855401452535,0.8809470639282573
direct_conflict_relevance,33,0.27258659014162295,0.27267512669012506,0.9138312727667383,0.7430767554834419,4.919293378034158,0.9386774126506591
direct_conflict_relevance,34,-0.05655123865164843,0.21759192405383426,0.9184155852387186,0.7654380977095293,6.438568460857801,0.9339873072712
direct_conflict_relevance,35,0.5018750452596032,0.276017877056917,0.9182533384104091,0.7378010152500445,4.848403035360687,0.8968214518204771
direct_conflict_relevance,36,0.7344821210968104,0.2235822651473209,0.9022520556452396,0.7693813849391873,4.545587483319889,0.8650253407704886
direct_conflict_relevance,37,0.6553246419934331,0.27549660516268604,0.9127838761304166,0.7408178018340142,5.123845087329613,0.9730865595563429
direct_conflict_relevance,38,0.7650584369404473,0.17198244664913762,0.9295730611234243,0.7694699897864675,7.693114274576621,0.8428261937075332
direct_conflict_relevance,39,0.010806344724701683,0.22856486531487566,0.9184711988575737,0.7574495387276722,5.821327538648237,0.948849018798648
direct_conflict_relevance,40,0.6432225258057854,0.1942107464908405,0.9147972853339282,0.7740191081944127,5.96416432364936,0.9155968443184603
direct_conflict_relevance,41,0.16029307474770083,0.3110021397569136,0.9042412431726368,0.742989691872702,4.236641252296758,0.9101438683876879
direct_conflict_relevance,42,0.29354040155769195,0.3366795084934547,0.9035012288297157,0.7290542233006172,3.438547520520272,0.8771062675846087
