variable,sigma_prior,draw,gamma,beta0,beta1,latent_mean,latent_concentration,sigma_y
direct_conflict_relevance,gamma_1_10,0,0.4836292802861851,0.2178005149005739,0.9121463701979646,0.7688514195096819,4.225377188374345,0.8951613737304891
direct_conflict_relevance,gamma_1_10,1,0.4542751490193606,0.2492364102525382,0.9089519613838636,0.7622949721080782,5.35324409997381,0.9004807718781226
direct_conflict_relevance,gamma_1_10,2,0.3083664248210694,0.1719827662832594,0.9045380617247224,0.7951183271030169,5.449389991191218,0.8997138115730066
direct_conflict_relevance,gamma_1_10,3,0.6126940826162962,0.3138758778332001,0.912224632222626,0.7154997272368856,4.4738322471619725,0.9055288342735476
direct_conflict_relevance,gamma_1_10,4,0.622149289234569,0.290449714945193,0.9166402646361428,0.7320875578472645,5.054089647390138,0.917294001171181
direct_conflict_relevance,gamma_1_10,5,0.3058879337760017,0.2809755870417358,0.9137116199859584,0.741969148336758,5.4224379990752745,0.9367289206323544
direct_conflict_relevance,gamma_1_10,6,0.4770822806261107,0.2946326165069362,0.9091656043891878,0.7554570141347139,4.939942377949186,0.8882954994807166
direct_conflict_relevance,gamma_1_10,7,1.083853564121963,0.2487469120234268,0.9076811562859132,0.7782531854062593,5.171024041719522,0.9142395484801156
direct_conflict_relevance,gamma_1_10,8,0.9133498883346304,0.2963775992045221,0.8978252560286958,0.7601666105705468,3.677293340536524,0.8508676060847004
direct_conflict_relevance,gamma_1_10,9,0.9107221701397472,0.2883787275854674,0.9140748460492176,0.7496137287996204,4.766420292268984,0.9550310396460184
direct_conflict_relevance,gamma_1_10,10,0.4525682678471464,0.2384387445406474,0.9037410061467482,0.7839016201199782,5.049690359300191,0.8830700102543202
direct_conflict_relevance,gamma_1_10,11,0.4172497544256421,0.2389075218368654,0.9007162662034609,0.7829527608648067,5.1890782519992875,0.8971330196182131
direct_conflict_relevance,gamma_1_10,12,0.397737361605862,0.2215434984470772,0.900990221355811,0.7754072808643643,5.429178962995559,0.9327704934685388
direct_conflict_relevance,gamma_1_10,13,0.7752586937402004,0.1783605705609083,0.9062586202098902,0.7802855292267077,4.684716103322227,0.8879700462327589
direct_conflict_relevance,gamma_1_10,14,1.0088714911888204,0.2321841351037009,0.916456343137222,0.7740253264436562,4.9621194381229525,0.9274417921303992
direct_conflict_relevance,gamma_1_10,15,0.9987522114167368,0.2218426688246991,0.908011549612686,0.7842830200282643,5.60545567400478,0.9271552198665372
direct_conflict_relevance,gamma_1_10,16,0.182892633807129,0.2112124184928528,0.903615600277171,0.7855343215771381,5.248183401462233,0.9005666635900489
direct_conflict_relevance,gamma_1_10,17,1.0001547730979643,0.2293377777296449,0.9137524809456936,0.7578188110230891,5.527623334640162,0.9161224376275716
direct_conflict_relevance,gamma_1_10,18,0.5442211218019545,0.2436574332140355,0.9268518824041272,0.7551612090031821,6.233395984004292,0.9540269903215448
direct_conflict_relevance,gamma_1_10,19,0.8379997729925435,0.2705118383006374,0.915500315811162,0.7340445501113441,5.02579805105719,0.9423269864732924
direct_conflict_relevance,gamma_1_10,20,1.0768629422534988,0.3032487062648279,0.9108021687306772,0.7378006649310814,5.692075037956757,0.9549770033986672
direct_conflict_relevance,gamma_1_10,21,1.1384575958978749,0.2995684238117575,0.9137994711556476,0.7447968918609177,5.256075920259635,0.9792395506741256
direct_conflict_relevance,gamma_1_10,22,1.523449413865353,0.2075215913297743,0.917615121744914,0.7710933772296118,6.091036986333005,0.9014341134949346
direct_conflict_relevance,gamma_1_10,23,1.3532257574837625,0.1786194341292019,0.9005944440770195,0.7942170848322159,5.528048874519771,0.9005356344836083
direct_conflict_relevance,gamma_1_10,24,0.5619420028501309,0.2244634671566297,0.9257007886027276,0.747296994964489,6.350054094455305,0.9109297209906344
direct_conflict_relevance,gamma_1_10,25,1.0936521170063005,0.3168188423262739,0.9107811150730524,0.7244973359603352,4.767055015762231,0.8885243898279526
direct_conflict_relevance,gamma_1_10,26,0.6058608971093887,0.2565807654935321,0.9010099026665408,0.7626034276415462,4.839004639464292,0.9029788940407258
direct_conflict_relevance,gamma_1_10,27,1.2672727336759582,0.2528363993081338,0.9118255723220668,0.7516785393948644,5.494084577476233,0.8828807918314605
direct_conflict_relevance,gamma_1_10,28,0.986668160140174,0.2519754230510572,0.9001414939938901,0.7595321982725427,4.715754906075759,0.9497176819636786
direct_conflict_relevance,gamma_1_10,29,0.8361194447512798,0.2536033739423572,0.9165380890444028,0.76186088783671,5.319295362307404,0.9269917555248044
direct_conflict_relevance,gamma_1_10,30,0.667739123862624,0.2598566645014519,0.9050048222309034,0.7769128265506168,4.89736183281947,0.9094861151178204
direct_conflict_relevance,gamma_1_10,31,1.8658470574506825,0.2607894011055601,0.9075866879776212,0.7583172578586992,4.848043511814985,0.945115523505592
direct_conflict_relevance,gamma_1_10,32,-0.3092628905530661,0.27826236375661,0.906190509744366,0.7468782142032623,4.5986855401452535,0.8809470639282573
direct_conflict_relevance,gamma_1_10,33,0.2725865901416229,0.272675126690125,0.9138312727667384,0.7430767554834419,4.919293378034158,0.9386774126506592
direct_conflict_relevance,gamma_1_10,34,-0.0565512386516484,0.2175919240538342,0.9184155852387186,0.7654380977095293,6.438568460857801,0.9339873072712
direct_conflict_relevance,gamma_1_10,35,0.5018750452596032,0.276017877056917,0.9182533384104092,0.7378010152500445,4.848403035360687,0.8968214518204771
direct_conflict_relevance,gamma_1_10,36,0.7344821210968104,0.2235822651473209,0.9022520556452396,0.7693813849391873,4.545587483319889,0.8650253407704886
direct_conflict_relevance,gamma_1_10,37,0.6553246419934331,0.275496605162686,0.9127838761304166,0.7408178018340142,5.123845087329613,0.9730865595563428
direct_conflict_relevance,gamma_1_10,38,0.7650584369404473,0.1719824466491376,0.9295730611234244,0.7694699897864675,7.693114274576621,0.8428261937075332
direct_conflict_relevance,gamma_1_10,39,0.0108063447247016,0.2285648653148756,0.9184711988575736,0.7574495387276722,5.821327538648237,0.948849018798648
direct_conflict_relevance,gamma_1_10,40,0.6432225258057854,0.1942107464908405,0.9147972853339282,0.7740191081944127,5.96416432364936,0.9155968443184604
direct_conflict_relevance,gamma_1_10,41,0.1602930747477008,0.3110021397569136,0.9042412431726368,0.742989691872702,4.236641252296758,0.910143868387688
direct_conflict_relevance,gamma_1_10,42,0.2935404015576919,0.3366795084934547,0.9035012288297156,0.7290542233006172,3.438547520520272,0.8771062675846087
direct_conflict_relevance,gamma_1_10,43,0.8786222416242195,0.2516308010844533,0.9100518972434156,0.7553797198065737,4.818072740943378,0.9353465348785116
direct_conflict_relevance,gamma_1_10,44,0.9456625028082452,0.2349822045328326,0.9138128558271684,0.7567367315940924,5.200705110282177,0.9225688181591852
direct_conflict_relevance,gamma_1_10,45,0.7721967465211225,0.2079350637995312,0.9118236041697532,0.7580337914468533,5.378263277528394,0.9161083758352292
direct_conflict_relevance,gamma_1_10,46,0.608040663355584,0.2069382232451521,0.916670033530322,0.7754014219830073,6.826168012325693,0.9121311115620911
direct_conflict_relevance,gamma_1_10,47,0.3088613674952424,0.2843190442673824,0.9072352657751586,0.7433439693372866,5.251317535608109,0.9083812647638568
direct_conflict_relevance,gamma_1_10,48,1.0973633827564786,0.2619978414670423,0.9163754071075254,0.7570882047339845,4.709877717147776,0.8671378599444775
direct_conflict_relevance,gamma_1_10,49,0.7198039154127648,0.2779798515376595,0.9085867917838218,0.7658756717982292,5.471048256688518,0.9600581229558136
direct_conflict_relevance,gamma_1_10,50,0.1380159125860156,0.2224242766296258,0.9046681610310108,0.7605385292809469,4.430432664021274,0.9464781724670152
direct_conflict_relevance,gamma_1_10,51,0.1027920594496085,0.2805398280097968,0.9128288748213204,0.7599843151998803,5.867616558366613,0.9045235289222152
direct_conflict_relevance,gamma_1_10,52,0.893570486949216,0.2327352684974854,0.9167563680189847,0.7555050533200741,4.916293078912021,0.8864350352890683
direct_conflict_relevance,gamma_1_10,53,1.0924588170134977,0.2458123186696915,0.901235989807546,0.7660081218838315,5.550349282559732,0.9355046674626266
direct_conflict_relevance,gamma_1_10,54,1.2470968783600649,0.2559864649444092,0.916636556256279,0.7532740084158664,4.684386034046031,0.9008844784780784
direct_conflict_relevance,gamma_1_10,55,0.8725763061132188,0.3178317700882697,0.914415973853694,0.7218400078113868,5.513658568682244,0.8990578524665905
direct_conflict_relevance,gamma_1_10,56,0.3574906951936712,0.291229298380629,0.89579922626194,0.7534009490901822,4.132264817833751,0.9231142644757334
direct_conflict_relevance,gamma_1_10,57,1.0772976325282948,0.2491445325034057,0.9091020957695,0.7438730394924968,4.384962053507181,0.925245070224047
direct_conflict_relevance,gamma_1_10,58,0.585294661232938,0.3157218278632813,0.90525527349523,0.7469263160867413,4.570792142821042,0.9127608733551492
direct_conflict_relevance,gamma_1_10,59,0.1089018401907568,0.2321571396794416,0.9061786219880884,0.7670608939427591,4.7588376651234485,0.8925426786286959
direct_conflict_relevance,gamma_1_10,60,0.5042941942232272,0.2305512423139989,0.91067541714961,0.7870061416176396,5.54298973170354,0.8472072236477919
direct_conflict_relevance,gamma_1_10,61,0.6281715848073324,0.3133168686726525,0.8970674402770222,0.713313313824298,3.646553224721896,0.956669506644492
direct_conflict_relevance,gamma_1_10,62,0.1713119957308751,0.1861634798823203,0.9057037304692284,0.766977628413746,6.053725030026633,0.9537862267327196
direct_conflict_relevance,gamma_1_10,63,0.9709939768982344,0.2262292355206477,0.9100301315819864,0.756110811333074,5.226667104942772,0.933038971037708
direct_conflict_relevance,gamma_1_10,64,0.5061025021456846,0.2589152609331612,0.9033687799363016,0.7566934516686818,4.287974968015725,0.941667854033378
direct_conflict_relevance,gamma_1_10,65,1.244537014255226,0.2349000729498713,0.9127740600239386,0.7506822008846581,5.429899190165545,0.912246341446996
direct_conflict_relevance,gamma_1_10,66,0.076062922605905,0.2080532239219125,0.9313066935287754,0.7474889466357704,6.8517398805991405,0.8917797956304422
direct_conflict_relevance,gamma_1_10,67,1.1417677573577492,0.2278125731865947,0.9113438183949956,0.76708345566214,5.609068602261765,0.8991804109411757
direct_conflict_relevance,gamma_1_10,68,0.8551438669359002,0.262021679612462,0.9118316722268124,0.7594946391667237,5.188825596149445,0.9193099552218736
direct_conflict_relevance,gamma_1_10,69,0.7100922011759937,0.2665823610423191,0.9093186345793532,0.7593765727497543,5.044333842592829,0.9247296878489116
direct_conflict_relevance,gamma_1_10,70,0.7181206344544201,0.2586329014500671,0.9004027768148359,0.7617349086964721,4.246196446267364,0.8804888217089132
direct_conflict_relevance,gamma_1_10,71,1.3788064193742415,0.2694358381181479,0.9024975953655237,0.764668880518671,4.50992782929557,0.9033293525809918
